name: 🇺🇸US-37.19.198.243-0355 | type: ss | name: 🇺🇸US-37.19.198.243-0355 | type: ss | id: 354 | remarks: 🇺🇸US-207.246.101.50-0392 | protocol: ss | ping: 10 MS | avg_speed: 171.48 MB | max_speed: 170.488 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpvX0E3aW5OMXlxZVd0T1RM@207.246.101.50:1633#%F0%9F%87%BA%F0%9F%87%B8US-207.246.101.50-0392
name: 🇺🇸US-37.19.198.160-0350 | type: ss | name: 🇺🇸US-37.19.198.160-0350 | type: ss | id: 319 | remarks: 🇺🇸US-173.244.56.6-0357 | protocol: ss | ping: 46 MS | avg_speed: 162.34 MB | max_speed: 157.692 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@173.244.56.6:443#%F0%9F%87%BA%F0%9F%87%B8US-173.244.56.6-0357
name: 🇺🇸US-37.19.198.244-0354 | type: ss | name: 🇺🇸US-37.19.198.244-0354 | type: ss | id: 309 | remarks: 🇺🇸US-156.146.38.170-0347 | protocol: ss | ping: 32 MS | avg_speed: 112.541 MB | max_speed: 123.452 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@156.146.38.170:443#%F0%9F%87%BA%F0%9F%87%B8US-156.146.38.170-0347
name: 🇺🇸US-172.104.219.179-0891 | type: vmess | name: 🇺🇸US-172.104.219.179-0891 | type: vmess | id: 299 | remarks: 🇺🇸US-156.146.38.167-0337 | protocol: ss | ping: 28 MS | avg_speed: 104.09 MB | max_speed: 111.79 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@156.146.38.167:443#%F0%9F%87%BA%F0%9F%87%B8US-156.146.38.167-0337
name: 🇺🇸US-37.19.198.236-0351 | type: ss | name: 🇺🇸US-37.19.198.236-0351 | type: ss | id: 298 | remarks: 🇺🇸US-156.146.38.168-0336 | protocol: ss | ping: 29 MS | avg_speed: 102.796 MB | max_speed: 122.683 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@156.146.38.168:443#%F0%9F%87%BA%F0%9F%87%B8US-156.146.38.168-0336
name: 🇺🇸US-38.99.82.203-8426 | type: vmess | name: 🇺🇸US-38.99.82.203-8426 | type: vmess | id: 322 | remarks: 🇺🇸US-107.155.57.11-0360 | protocol: ss | ping: 19 MS | avg_speed: 101.981 MB | max_speed: 108.765 MB | Link: ss://cmM0LW1kNToxNGZGUHJiZXpFM0hEWnpzTU9yNg==@107.155.57.11:8080#%F0%9F%87%BA%F0%9F%87%B8US-107.155.57.11-0360
name: 🇺🇸US-38.99.82.203-5927 | type: vmess | name: 🇺🇸US-38.99.82.203-5927 | type: vmess | id: 314 | remarks: 🇺🇸US-184.170.241.194-0352 | protocol: ss | ping: 37 MS | avg_speed: 101.179 MB | max_speed: 105.487 MB | Link: ss://YWVzLTEyOC1jZmI6c2hhZG93c29ja3M=@184.170.241.194:443#%F0%9F%87%BA%F0%9F%87%B8US-184.170.241.194-0352
name: 🇺🇸US-38.91.106.227-8390 | type: vmess | name: 🇺🇸US-38.91.106.227-8390 | type: vmess | id: 302 | remarks: 🇺🇸US-156.146.38.169-0340 | protocol: ss | ping: 28 MS | avg_speed: 97.39 MB | max_speed: 125.308 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@156.146.38.169:443#%F0%9F%87%BA%F0%9F%87%B8US-156.146.38.169-0340
name: 🇺🇸US-194.5.215.59-0359 | type: ss | name: 🇺🇸US-194.5.215.59-0359 | type: ss | id: 912 | remarks: 🏁RELAY-104.21.112.1-1333 | protocol: vmess | ping: 14 MS | avg_speed: 91.248 MB | max_speed: 93.296 MB | Link: vmess://ewogICAgImFkZCI6ICIxMDQuMjEuMTEyLjEiLAogICAgImFpZCI6IDAsCiAgICAiaG9zdCI6ICJmZi5rbmNjMi50b3AiLAogICAgImlkIjogIjg5YzM0NGYyLTA5NmMtNDQ1Yy1iNjI5LTliMTUxNTJmMzhlNyIsCiAgICAibmV0IjogIndzIiwKICAgICJwYXRoIjogIi84OWMzNDRmMiIsCiAgICAicG9ydCI6IDg0NDMsCiAgICAicHMiOiAi8J+PgVJFTEFZLTEwNC4yMS4xMTIuMS0xMzMzIiwKICAgICJ0bHMiOiAidGxzIiwKICAgICJ0eXBlIjogImF1dG8iLAogICAgInNlY3VyaXR5IjogImF1dG8iLAogICAgInNraXAtY2VydC12ZXJpZnkiOiB0cnVlLAogICAgInNuaSI6ICIiCn0=
name: 🇺🇸US-156.146.38.169-0356 | type: ss | name: 🇺🇸US-156.146.38.169-0356 | type: ss | id: 320 | remarks: 🇺🇸US-212.102.47.130-0358 | protocol: ss | ping: 35 MS | avg_speed: 88.628 MB | max_speed: 93.642 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@212.102.47.130:443#%F0%9F%87%BA%F0%9F%87%B8US-212.102.47.130-0358
name: 🇺🇸US-156.146.38.170-0390 | type: ss | name: 🇺🇸US-156.146.38.170-0390 | type: ss | id: 3089 | remarks: 🏁RELAY-104.21.80.1-6135 | protocol: vmess | ping: 19 MS | avg_speed: 87.855 MB | max_speed: 92.831 MB | Link: vmess://ewogICAgImFkZCI6ICJmZi5rbmNjMi50b3AiLAogICAgImFpZCI6IDAsCiAgICAiaG9zdCI6ICJmZi5rbmNjMi50b3AiLAogICAgImlkIjogIjg5YzM0NGYyLTA5NmMtNDQ1Yy1iNjI5LTliMTUxNTJmMzhlNyIsCiAgICAibmV0IjogIndzIiwKICAgICJwYXRoIjogIi84OWMzNDRmMiIsCiAgICAicG9ydCI6IDg0NDMsCiAgICAicHMiOiAi8J+PgVJFTEFZLTEwNC4yMS44MC4xLTYxMzUiLAogICAgInRscyI6ICJ0bHMiLAogICAgInR5cGUiOiAiYXV0byIsCiAgICAic2VjdXJpdHkiOiAiYXV0byIsCiAgICAic2tpcC1jZXJ0LXZlcmlmeSI6IHRydWUsCiAgICAic25pIjogIiIKfQ==
